tipo_item,endereco,bairro,metragem_m2,latidude,longitude,lote,observacoes
canteiros,av nova londrina e rua do canario,lindóia,"16.229,07","-23,2856716","-51,1265045",1,
canteiros,av josé r martins,mister thomas,"3.180,50","-23,2788408","-51,1268468",1,
canteiros,das codornas,waldemar hauer a,"878,32","-23,2910382","-51,1301633",1,
fundo de vale,manoel de o branco,marizia,"1.787,57","-23,3045915","-51,1549049",1,
lote público,icós,são caetano,"438,56","-23,3014941","-51,1550653",1,
area publica,av. duque de caxias c/ r. caetano munhoz da rocha,recreio,"411,75","-23,3154575","-51,1551198",1,
praça,tietê c duque de caxias 2 praças,recreio,"2.457,00","-23,3272806","-51,1540579",1,
praça,tiete c john kennedy,recreio,"1.915,41","-23,2953414","-51,1589755",1,
area publica,ermelindo leão c/ dq de caxias,vila rica,"287,45","-23,3154575","-51,1551198",1,
area publica,ermelindo leão c/ vicente machado,vila rica,"15.259,20","-23,2968745","-51,152982",1,
area publica,fundo do colegio benjamin constant,portuguesa,"18.478,43","-23,3022189","-51,1582639",1,
fundo de vale,atilio scudeler csu,portuguesa,"95.531,82","-23,3000105","-51,1559695",1,
area publica,carlos chagas,marizia,"2.571,90","-23,2890917","-51,2342495",1,
area publica,alba bertoluti clivati c/ maria l de figueiredo,alto da boa vista,"1.667,47","-23,2575176","-51,2046137",1,
area publica,almenio correa lemes c/ nova londrina,mister thomas,"1.178,11","-23,2802678","-51,1269029",1,
area publica,francisca vieira da costa,liberdade,"3.302,60","-23,2744819","-51,1655083",1,
area publica,francisca vieira da costa,liberdade,"1.641,82","-23,2744819","-51,1655083",1,
praça,café arábica c/ lindalva b m campos,res. do café,"185,38","-23,2702064","-51,1828017",1,
area publica,av miguel mestre (calçada fora da cerca - do condomínio até lava rápido),leblon,"695,4","-23,3197305","-51,1662008",1,
praça,av. parana c/ av. são paulo,centro,"4.173,13","-23,3109391","-51,1640303",2,
praça,rua benjamin constant / av. rio de janeiro ( rocha pombo ),centro,"4.294,78","-23,3087493","-51,1589795",2,
viela + area publica,"av. leste oeste ( barranco externo super creche ) 413,00+1.428,21",centro,"1.841,21","-23,2953013","-51,2036457",2,
praça,rua benjamin constant c/ rua mato grosso (tomy nakagawa),centro,"7.891,45","-23,3087453","-51,1627635",2,
area publica,rua mato grosso c/ av. arc. dom geraldo fernandes - pai,centro,"1.973,45","-23,3005648","-51,2241743",2,
praça,rua minas gerais c/ rua maranhao,centro,"908,95","-21,1382132","-48,9709646",2,
canteiros + rotatoria,av. celso garcia cid,centro,"2.475,76","-23,3125106","-51,1571462",2,
praça,rua sen. souza naves c/ rua piaui (concha),centro,"722,72","-23,3130619","-51,1575552",2,
area publica,av. rio de janeiro e av. são paulo (bosque),centro,"2.688,00","-23,3093983","-51,1589717",2,
praça,rua prof. joao candido c/ rua piaui,centro,"876,29","-23,3094784","-51,1617159",2,
praça,rua quintino bocaiuva ( 04 areas),centro,"4.693,42","-23,3102004","-51,1643446",2,
praça,rua manaus c/ trav. belo horizonte,centro,175,"-23,3050097","-51,1677726",2,
canteiros,joao candido - calçadao - em frente lj. americanas,centro,"450,29","-23,3665442","-51,1444652",2,
lote,rua uruguai c/ rua goias,centro,394,"-23,3106121","-51,1528274",2,
canteiros,av. santos dumont,ipiranga,"7.845,63","-23,3155518","-51,1509507",2,
viela,av. santos dumont ao lado do nº 300,boa vista,"345,4","-23,3223024","-51,1437603",2,
area publica,av. santos dumont ao lado do nº 675,caravelle,264,"-23,3223024","-51,1437603",2,
area publica,rua de pinedo,aeroporto,"826,72","-23,3263786","-51,1364913",2,
viela,rua de pinedo ao lado do nº 118,aeroporto,"247,6","-23,3257055","-51,1372943",2,
praça,santos dumont - nishinomya,aeroporto,"18.641,89","-23,3155393","-51,1509649",2,
canteiros,av. higienopolis,centro,"7.763,53","-23,3099719","-51,1653081",2,
praça,av. higienópolis c/ rua valparaiso / rua santiago,guanabara,"1.869,20","-23,3105478","-51,1658269",2,
canteiros,av. juscelino kubitschek,centro,"16.446,58","-23,3152623","-51,1708346",2,
praça,rua canudos c/ av. jk,higienopolis,"1.990,26","-23,3233552","-51,1703182",2,
area publica,rua profº joao candido c/ av. jk - cmtu,centro,"209,42","-23,3092687","-51,1613523",2,
canteiros,alameda julio de mesquita filho,centro,"656,3","-23,3205253","-51,162824",2,
canteiro,gomes carneiro,centro,"1.127,61","-23,321194","-51,1658775",2,
rotatoria + canteiros,av. bandeirantes,centro,"7.493,35","-23,3215745","-51,1623764",2,
praça,av. bandeirantes com rua olinda,ipiranga,"789,91","-23,3218303","-51,1627093",2,
canteiros + rotatoria,av. duque de caxias,centro,"8.394,25","-23,3297892","-51,1531711",2,
area publica,rua humberto picinin nº 235,vl brasil,"829,1","-23,329","-51,1510535",2,
canteiro,rua guarujá c/ rua flórida,jd. flórida,"140,76","-23,3276614","-51,1519421",2,
area publica,rua guaruja c/ rua agentina,vl brasil,"9.319,32","-23,3276493","-51,1530113",2,
canteiros,av. atlantico,indianapolis,"1.880,62","-23,3270735","-51,1480254",2,
canteiros + praça,rua panama / rua peru / rua bolivia ( 03 áreas ),indianapolis,"2.240,32","-23,3273573","-51,1473324",2,
viela + lote,rua bolivia entre rua panama e rua artico,indianapolis,"754,68","-23,3278045","-51,1471353",2,
praça,aeronautica c/ benjamin lins,santos dumont,"2.634,88","-23,3243616","-51,1465104",2,
lotes,bolivia c/ enzo rufino (02 lados),santos dumont,"2.218,85","-23,3197305","-51,1662008",2,
praça,aeronautica c/ luiz rosseto,santos dumont,"1.502,36","-23,3243793","-51,146509",2,
praça,rua urbano duarte c/ rua libero badaro,nova londres,"5.300,47","-23,3320085","-51,1557352",2,
praça,rua gen. horta barbosa / rua luiz dias,petropolis,"8.291,24","-23,3302711","-51,1568661",2,
praça,rua nossa sra. de fatima c/ engº omar rupp e av. carlos gomes,londrilar,"3.375,01","-23,3293003","-51,1595609",2,
praça,rua lord lovat c/ rua antonio amado noivo,londrilar,"1.403,78","-23,3255688","-51,1584468",2,
vielas,entre avenida carlos gomes e rua prof. julio estrella moreira,lago parque,"1.128,10","-23,3245134","-51,1634938",2,
canteiros,av. madre leonia milito,claudia,"2.407,65","-23,335245","-51,163891",2,
canteiros,av. ayrton senna da silva,palhano,"17.760,95","-23,3271565","-51,177668",2,
canteiros e laterais,av. leste oeste,centro,"80.451,94","-23,2953013","-51,2036457",2,
canteiros,av. cruzeiro do sul,leste-oeste,"5.578,74","-23,2956078","-51,2044072",2,
